Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.49.02,--,5G NSA,-110,-13.0,13.0,8,8,D,PERIODIC,mcar
2024.06.13_18.49.03,--,5G NSA,-112,-12.0,9.0,7,7,D,PERIODIC,mcar
2024.06.13_18.49.04,--,5G NSA,-111,-13.0,8.0,6,21,D,PERIODIC,mcar
2024.06.13_18.49.05,--,5G NSA,-112,-13.0,9.0,8,8,D,PERIODIC,mcar
2024.06.13_18.49.06,--,5G NSA,-113,-14.0,6.0,82,38,D,PERIODIC,mcar
2024.06.13_18.49.07,--,5G NSA,-113,-15.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.08,--,5G NSA,-113,-14.0,4.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.09,--,5G NSA,-113,-12.0,5.0,4,7,D,PERIODIC,mcar
2024.06.13_18.49.10,--,5G NSA,-109,-13.0,4.0,5,5,D,PERIODIC,mcar
2024.06.13_18.49.11,--,5G NSA,-107,-12.0,9.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.12,--,5G NSA,-112,-13.0,7.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.13,--,5G NSA,-111,-13.0,7.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.14,--,5G NSA,-109,-12.0,8.0,28,31,D,PERIODIC,mcar
2024.06.13_18.49.15,--,5G NSA,-111,-13.0,7.0,4,7,D,PERIODIC,mcar
2024.06.13_18.49.16,--,5G NSA,-111,-13.0,5.0,5,5,D,PERIODIC,mcar
2024.06.13_18.49.17,--,5G NSA,-109,-13.0,6.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.18,--,5G NSA,-112,-13.0,6.0,6,15,D,PERIODIC,mcar
2024.06.13_18.49.19,--,5G NSA,-109,-13.0,4.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.20,--,5G NSA,-110,-12.0,4.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.21,--,5G NSA,-111,-12.0,9.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.22,--,5G NSA,-112,-12.0,7.0,4,5,D,PERIODIC,mcar
2024.06.13_18.49.23,--,5G NSA,-113,-13.0,5.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.24,--,5G NSA,-113,-13.0,5.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.25,--,5G NSA,-107,-13.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.26,--,5G NSA,-110,-13.0,6.0,7,6,D,PERIODIC,mcar
2024.06.13_18.49.27,--,5G NSA,-112,-13.0,7.0,7,7,D,PERIODIC,mcar
2024.06.13_18.49.28,--,5G NSA,-111,-13.0,8.0,5,6,D,PERIODIC,mcar
2024.06.13_18.49.29,--,5G NSA,-114,-13.0,6.0,7,5,D,PERIODIC,mcar
2024.06.13_18.49.30,--,5G NSA,-114,-14.0,7.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.31,--,5G NSA,-112,-13.0,7.0,7,6,D,PERIODIC,mcar
2024.06.13_18.49.32,--,5G NSA,-114,-14.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.33,--,5G NSA,-113,-14.0,5.0,7,7,D,PERIODIC,mcar
2024.06.13_18.49.34,--,5G NSA,-113,-14.0,4.0,6,6,D,PERIODIC,mcar
2024.06.13_18.49.35,--,5G NSA,-113,-13.0,3.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.36,--,5G NSA,-114,-13.0,3.0,7,6,D,PERIODIC,mcar
2024.06.13_18.49.37,--,5G NSA,-113,-14.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.38,--,5G NSA,-114,-14.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.39,--,5G NSA,-115,-15.0,6.0,4,7,D,PERIODIC,mcar
2024.06.13_18.49.40,--,5G NSA,-115,-15.0,4.0,5,6,D,PERIODIC,mcar
2024.06.13_18.49.41,--,5G NSA,-114,-14.0,4.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.42,--,5G NSA,-114,-16.0,4.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.43,--,5G NSA,-105,-11.0,4.0,4,6,D,PERIODIC,mcar
2024.06.13_18.49.44,--,5G NSA,-108,-11.0,2.0,6,14,D,PERIODIC,mcar
